Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,70.19
Ponorogo,72.59
Trenggalek,71.28
Tulungagung,74.14
Blitar,72.25
Kediri,74.2
Malang,72.23
Lumajang,68.48
Jember,69.8
Banyuwangi,73.15
Bondowoso,69.91
Situbondo,69.76
Probolinggo,69.56
Pasuruan,71.29
Sidoarjo,81.37
Mojokerto,75.61
Jombang,74.66
Nganjuk,73.95
Madiun,73.51
Magetan,75.76
Ngawi,72.62
Bojonegoro,71.15
Tuban,70.79
Lamongan,74.83
Gresik,77.62
Bangkalan,66.11
Sampang,65.44
Pamekasan,69.35
Sumenep,68.49
Kota Kediri,80.12
Kota Blitar,80.15
Kota Malang,83.38
Kota Probolinggo,76.08
Kota Pasuruan,77.71
Kota Mojokerto,80.19
Kota Madiun,83.02
Kota Surabaya,83.32
Kota Batu,78.13
Jawa Timur,74.05
,
Catatan,
Indeks Pembangunan Manusia (IPM) 2020-2023 dihitung menggunakan Umur Harapan Hidup saat Lahir (UHH) hasil Long Form SP2020 (LF SP2020). IPM 2023 yang menggunakan UHH hasil SP2010 masih tersedia dan dapat diakses pada website BPS (www.bps.go.id)/<i>The 2020–2023 Human Development Index (HDI) was calculated using the Life Expectancy at Birth based on the Long Form 2020 Population Census. The 2023 HDI data using life expectancy based on the 2010 Population Census are still available at the BPS website (www.bps.go.id)</i>,